,Player,Team,Pos,1st Pick Value,Starter Value,Inc 1st Pick,PAR,PAS,FantasyPoints
711,Justin Tucker,BAL,K,6.66,5.51,1.1500000000000004,19.299999999999997,9.258333333333312,130.1
316,Marvin Jones,DET,WR,6.61,5.47,1.1400000000000006,19.14999999999999,-27.72,122.6
317,Julian Edelman,NE,WR,6.4,5.3,1.1000000000000005,18.549999999999997,-28.319999999999993,122.0
572,Rob Gronkowski,TB,TE,6.23,5.15,1.08,18.05000000000001,-17.749999999999986,95.4
748,San Francisco 49ers,San Francisco 49ers,DST,6.07,5.03,1.04,17.60000000000001,6.758333333333326,118.2
573,Tyler Higbee,LAR,TE,5.95,4.93,1.0200000000000005,17.25,-18.549999999999997,94.6
574,Hayden Hurst,ATL,TE,5.75,4.75,1.0,16.650000000000006,-19.14999999999999,94.0
141,Phillip Lindsay,DEN,RB,5.66,4.68,0.9800000000000004,16.400000000000006,-70.58666666666662,110.5
749,Los Angeles Rams,Los Angeles Rams,DST,5.42,4.48,0.9399999999999995,15.700000000000003,4.85833333333332,116.3
318,Tyler Boyd,CIN,WR,5.26,4.35,0.9100000000000001,15.25,-31.61999999999999,118.7
750,New England Patriots,New England Patriots,DST,5.14,4.25,0.8899999999999997,14.900000000000006,4.058333333333323,115.5
142,Matt Breida,MIA,RB,5.14,4.25,0.8899999999999997,14.900000000000006,-72.08666666666662,109.0
575,Noah Fant,DEN,TE,4.75,3.93,0.8199999999999998,13.75,-22.049999999999997,91.1
712,Greg Zuerlein,DAL,K,4.52,3.74,0.7799999999999994,13.100000000000009,3.058333333333323,123.9
12,Matthew Stafford,DET,QB,4.28,3.54,0.7400000000000002,12.399999999999977,-39.94166666666666,257.9
143,J.K. Dobbins,BAL,RB,4.25,3.51,0.7400000000000002,12.300000000000011,-74.68666666666661,106.4
144,Latavius Murray,NO,RB,3.87,3.2,0.6699999999999999,11.200000000000003,-75.78666666666662,105.3
319,Brandin Cooks,HOU,WR,3.81,3.16,0.6499999999999999,11.049999999999997,-35.81999999999999,114.5
576,Austin Hooper,CLE,TE,3.68,3.04,0.6400000000000001,10.650000000000006,-25.14999999999999,88.0
751,Minnesota Vikings,Minnesota Vikings,DST,3.62,3.0,0.6200000000000001,10.5,-0.3416666666666828,111.1
320,Diontae Johnson,PIT,WR,3.57,2.96,0.6099999999999999,10.349999999999994,-36.519999999999996,113.8
713,Robbie Gould,SF,K,3.56,2.94,0.6200000000000001,10.299999999999997,0.25833333333331154,121.1
752,Baltimore Ravens,Baltimore Ravens,DST,3.45,2.86,0.5900000000000003,10.0,-0.8416666666666828,110.6
321,Will Fuller,HOU,WR,2.95,2.44,0.5100000000000002,8.549999999999997,-38.31999999999999,112.0
145,James White,NE,RB,2.93,2.43,0.5,8.5,-78.48666666666662,102.6
753,Philadelphia Eagles,Philadelphia Eagles,DST,2.93,2.43,0.5,8.5,-2.3416666666666828,109.1
146,Tarik Cohen,CHI,RB,2.8,2.31,0.48999999999999977,8.100000000000009,-78.88666666666661,102.2
754,New Orleans Saints,New Orleans Saints,DST,2.76,2.28,0.48,8.0,-2.8416666666666828,108.6
322,Christian Kirk,ARI,WR,2.57,2.13,0.43999999999999995,7.450000000000003,-39.41999999999999,110.9
755,Kansas City Chiefs,Kansas City Chiefs,DST,2.55,2.11,0.43999999999999995,7.400000000000006,-3.441666666666677,108.0
756,Buffalo Bills,Buffalo Bills,DST,2.31,1.91,0.40000000000000013,6.700000000000003,-4.14166666666668,107.3
13,Jared Goff,LAR,QB,2.31,1.91,0.40000000000000013,6.699999999999989,-45.64166666666665,252.2
323,Mike Williams,LAC,WR,2.26,1.87,0.3899999999999997,6.549999999999997,-40.31999999999999,110.0
714,Matt Prater,DET,K,2.17,1.8,0.3699999999999999,6.299999999999997,-3.7416666666666885,117.1
14,Cam Newton,NE,QB,1.93,1.6,0.32999999999999985,5.599999999999994,-46.741666666666646,251.1
715,Jake Elliott,PHI,K,1.86,1.54,0.32000000000000006,5.400000000000006,-4.64166666666668,116.2
577,T.J. Hockenson,DET,TE,1.85,1.53,0.32000000000000006,5.3500000000000085,-30.44999999999999,82.7
757,Tampa Bay Buccaneers,Tampa Bay Buccaneers,DST,1.83,1.51,0.32000000000000006,5.300000000000011,-5.541666666666671,105.9
324,Sterling Shepard,NYG,WR,1.74,1.44,0.30000000000000004,5.049999999999997,-41.81999999999999,108.5
716,Dan Bailey,MIN,K,1.73,1.43,0.30000000000000004,5.0,-5.041666666666686,115.8
325,Jamison Crowder,NYJ,WR,1.57,1.3,0.27,4.549999999999997,-42.31999999999999,108.0
758,Seattle Seahawks,Seattle Seahawks,DST,1.35,1.11,0.24,3.9000000000000057,-6.941666666666677,104.5
